sport,sport_type,sport_location,city,region,latitude,longitude
soccer,ball sports,parc multisport réal-dufresne,shawinigan,québec,,
ball,ball sports,parc multisport réal-dufresne,shawinigan,québec,,
tennis,ball sports,parc multisport réal-dufresne,shawinigan,québec,,
skateboarding,board sports,parc multisport réal-dufresne,shawinigan,québec,,
volleyball,ball sports,parc multisport réal-dufresne,shawinigan,québec,,
basketball,ball sports,parc multisport réal-dufresne,shawinigan,québec,,
outdoor rink,ice sports,parc morand,shawinigan,québec,,
basketball,ball sports,parc wellie-robitaille,shawinigan,québec,,
soccer,ball sports,parc wellie-robitaille,shawinigan,québec,,
outdoor rink,ice sports,parc robitaille,shawinigan,québec,,
outdoor rink,ice sports,parc saint-michel,shawinigan,québec,,
basketball,ball sports,parc saint-michel,shawinigan,québec,,
outdoor rink,ice sports,parc du clair-val,shawinigan,québec,,
outdoor rink,ice sports,parc du boisé,shawinigan,québec,,
indoor rink,ice sports,aréna gilles-bourassa,shawinigan,québec,,
bmx,multi-sport,station plein-air val-mauricie,shawinigan,québec,,
ball,ball sports,station plein-air val-mauricie,shawinigan,québec,,
outdoor pool,water sports,station plein-air val-mauricie,shawinigan,québec,,
tennis,ball sports,école secondaire val-mauricie,shawinigan,québec,,
volleyball,ball sports,école secondaire val-mauricie,shawinigan,québec,,
basketball,ball sports,parc ludger-gerbeau,shawinigan,québec,,
outdoor rink,ice sports,parc jacob,shawinigan,québec,,
outdoor rink,ice sports,parc belgoville,shawinigan,québec,,
outdoor rink,ice sports,parc lafayette,shawinigan,québec,,
soccer,ball sports,parc bellevue,shawinigan,québec,,
outdoor rink,ice sports,parc bellevue,shawinigan,québec,,
volleyball,ball sports,parc andré-yvon-perreault,shawinigan,québec,,
outdoor rink,ice sports,parc andré-yvon-perreault,shawinigan,québec,,
athletics,multi-sport,complexe sportif rené-perron,shawinigan,québec,,
soccer,ball sports,complexe sportif rené-perron,shawinigan,québec,,
gymnase,multi-sport,école secondaire des chutes,shawinigan,québec,,
soccer,ball sports,complexe sportif rené-perron,shawinigan,québec,,
ball,ball sports,parc frank-gauthier,shawinigan,québec,,
outdoor pool,water sports,parc frank-gauthier,shawinigan,québec,,
tennis,ball sports,parc frank-gauthier,shawinigan,québec,,
indoor rink,ice sports,aréna de grand-mère,shawinigan,québec,,
indoor pool,water sports,école secondaire du rocher,shawinigan,québec,,
badminton,multi-sport,école secondaire du rocher,shawinigan,québec,,
basketball,ball sports,parc de la rivière grand-mère,shawinigan,québec,,
tennis,ball sports,parc de la rivière grand-mère,shawinigan,québec,,
petanque,multi-sport,parc multisport manfredo-devito,shawinigan,québec,,
outdoor rink,ice sports,parc multisport manfredo-devito,shawinigan,québec,,
bocce,multi-sport,parc multisport manfredo-devito,shawinigan,québec,,
soccer,ball sports,parc multisport manfredo-devito,shawinigan,québec,,
soccer,ball sports,complexe sportif du domaine-laflèche,shawinigan,québec,,
basketball,ball sports,parc de sainte-flore,shawinigan,québec,,
outdoor rink,ice sports,parc de sainte-flore,shawinigan,québec,,
tennis,ball sports,parc de sainte-flore,shawinigan,québec,,
soccer,ball sports,parc paul-andré-potvin,shawinigan,québec,,
tennis,ball sports,parc paul-andré-potvin,shawinigan,québec,,
basketball,ball sports,parc morand,shawinigan,québec,,
soccer,ball sports,parc turcotte,shawinigan,québec,,
ball,ball sports,parc gervais,shawinigan,québec,,
outdoor rink,ice sports,parc gervais,shawinigan,québec,,
volleyball,ball sports,parc des piles,shawinigan,québec,,
outdoor rink,ice sports,parc du grand-orme,shawinigan,québec,,
skateboarding,board sports,parc du grand-orme,shawinigan,québec,,
tennis,ball sports,parc du grand-orme,shawinigan,québec,,
volleyball,ball sports,terrain de volleyball de plage,shawinigan,québec,,
skateboarding,board sports,parc de la plage idéale,shawinigan,québec,,
outdoor rink,ice sports,parc pierre-garceau,shawinigan,québec,,
skateboarding,board sports,parc pierre-garceau,shawinigan,québec,,
outdoor pool,water sports,parc st-maurice,shawinigan,québec,,
water games,multi-sport,parc st-maurice,shawinigan,québec,,
tennis,ball sports,parc st-maurice,shawinigan,québec,,
indoor rink,ice sports,centre gervais auto (amphithéâtre municipal),shawinigan,québec,,
outdoor rink,ice sports,parc des trois-l,shawinigan,québec,,
dek-hockey,ice sports,parc antoine-st-onge,shawinigan,québec,,
outdoor pool,water sports,parc antoine-st-onge,shawinigan,québec,,
indoor pool,water sports,centre des arts,shawinigan,québec,,
petanque,multi-sport,parc st-maurice,shawinigan,québec,,
curling,multi-sport,centre municipal de curling,shawinigan,québec,,
outdoor rink,ice sports,parc du beau-rivage,shawinigan,québec,,
outdoor rink,ice sports,école des bâtisseurs,shawinigan,québec,,
outdoor rink,ice sports,centre-ville,shawinigan,québec,,
badminton,multi-sport,école secondaire val-mauricie,shawinigan,québec,,
volleyball,ball sports,école secondaire des chutes,shawinigan,québec,,
petanque,multi-sport,parc antoine-st-onge,shawinigan,québec,,
petanque,multi-sport,parc des piles,shawinigan,québec,,
volleyball,ball sports,parc du beau-rivage,shawinigan,québec,,
football,ball sports,complexe sportif rené-perron,shawinigan,québec,,
basketball,ball sports,école secondaire val-mauricie,shawinigan,québec,,
basketball,ball sports,école secondaire des chutes,shawinigan,québec,,
hockey cosom,ice sports,école secondaire des chutes,shawinigan,québec,,
beach,water sports,parc des piles,shawinigan,québec,,
water games,multi-sport,parc boisvert,shawinigan,québec,,
ice ring,ice sports,parc des trois-l,shawinigan,québec,,
ice trail,multi-sport,parc de la plage-idéale,shawinigan,québec,,
boxing,multi-sport,école saint-jean-de-bosco,shawinigan,québec,,
dog exercise area,ice sports,parc frank-gauthier,shawinigan,québec,,
dog exercise area,ice sports,parc multisport réal-dufresne,shawinigan,québec,,
skateboarding,board sports,parc frank-gauthier,shawinigan,québec,,
gymnase,multi-sport,école secondaire val-mauricie,shawinigan,québec,,
skateboarding,board sports,parc antoine-st-onge,shawinigan,québec,,
basketball,ball sports,parc alphonse-trépanier,shawinigan,québec,,
basketball,ball sports,parc belgoville,shawinigan,québec,,
water games,multi-sport,parc florence-lawless-lacroix,shawinigan,québec,,
indoor pool,water sports,cegep de shawinigan,shawinigan,québec,,
mountain biking,multi-sport,parc de l'île-melville/parc des chutes,shawinigan,québec,,
mountain biking,multi-sport,sentier thibaudeau-ricard,shawinigan,québec,,
mountain biking,multi-sport,parc national de la mauricie,shawinigan,québec,,
skateboarding,board sports,parc de la rivière-grand-mère,shawinigan,québec,,
pickleball,ball sports,centre émile-bédard,shawinigan,québec,,
pickleball,ball sports,école secondaire val-mauricie,shawinigan,québec,,
water games,multi-sport,parc paul-andré-potvin,shawinigan,québec,,
water games,multi-sport,parc de la plage-idéale,shawinigan,québec,,
soccer,ball sports,parc de sainte-flore,shawinigan,québec,,
volleyball,ball sports,parc de sainte-flore,shawinigan,québec,,
outdoor pickleball,ball sports,parc de l'île-melville,shawinigan,québec,,
soccer,ball sports,parc alphonse-désaulniers,shawinigan,québec,,
arena,ice sports,centre julien-ducharme (aréna),sherbrooke,québec,5689743.0362,-7998694.8268
arena,ice sports,aréna eugène-lalonde,sherbrooke,québec,5686890.8101,-8001939.1233
arena,ice sports,aréna ivan-dugré,sherbrooke,québec,5682885.4824,-8004610.2209
arena,ice sports,complexe sportif forage fte (aréna),sherbrooke,québec,5679661.929,-8013950.9686
arena,ice sports,aréna philippe-bergeron,sherbrooke,québec,5696535.9161,-8009680.6574
arena,ice sports,aréna jane et eric molson de l'université bishop's,sherbrooke,québec,5678954.116,-7997442.2477
arena,ice sports,complexe sportif thibault gm,sherbrooke,québec,5681547.4155,-8009007.5144
arena,ice sports,aréna collège bishop (bcs),sherbrooke,québec,5680245.0766,-7997311.8981
arena,ice sports,aréna mont-sainte-anne,sherbrooke,québec,5679882.1249,-8007518.4966
pool,water sports,piscine de la claire-fontaine du parc victoria,sherbrooke,québec,5687049.80224924,-8002591.16589029
pool,water sports,piscine du parc des optimistes,sherbrooke,québec,5687256.90758708,-8001519.23520867
pool,water sports,piscine du parc de saint-alphonse-de-liguori,sherbrooke,québec,5687072.64449443,-8005508.59454816
pool,water sports,piscine du parc de ma-villa,sherbrooke,québec,5684668.79677061,-8015851.83999166
pool,water sports,piscine du parc central,sherbrooke,québec,5677469.08687376,-8014822.15575743
pool,water sports,piscine du parc de mi-vallon,sherbrooke,québec,5681627.32720315,-8013121.17359564
pool,water sports,piscine du parc centennial,sherbrooke,québec,5679880.95358218,-7999434.49961419
pool,water sports,piscine du parc alfred-élie-dufresne,sherbrooke,québec,5683983.09990182,-8003064.11767096
pool,water sports,piscine sangster,sherbrooke,québec,5682738.64668757,-8004341.51115227
pool,water sports,piscine du parc paul-marin,sherbrooke,québec,5682870.30675402,-8007449.36704588
pool,water sports,piscine montcalm,sherbrooke,québec,5685145.77509685,-8006545.68290663
pool,water sports,piscine du parc nault,sherbrooke,québec,5695798.34158309,-8008433.04547897
archery,multi-sport,,sherbrooke,québec,5681314.67123937,-8004908.84595505
petanque,multi-sport,,sherbrooke,québec,5686433.76715988,-8009270.03511191
jeu de galets,multi-sport,,sherbrooke,québec,5686468.18813595,-8009248.14208644
petanque,multi-sport,,sherbrooke,québec,5685996.81994693,-7998320.35949618
jeu de galets,multi-sport,,sherbrooke,québec,5686060.72717976,-7998308.04555015
skateboarding,board sports,,sherbrooke,québec,5696658.09953306,-8009256.60966804
petanque,multi-sport,,sherbrooke,québec,5695659.41336924,-8008552.67210275
jeu de galets,multi-sport,,sherbrooke,québec,5695637.16037191,-8008564.48216928
petanque,multi-sport,,sherbrooke,québec,5681753.01422889,-8013279.24086681
mobile rink,ice sports,,sherbrooke,québec,5684563.53039171,-8007960.05470576
ice surface,multi-sport,,sherbrooke,québec,5684594.84315623,-8007960.39946455
jeu de galets,multi-sport,,sherbrooke,québec,5683879.07179144,-8005843.47870079
petanque,multi-sport,,sherbrooke,québec,5684897.67724976,-8004917.13644191
petanque,multi-sport,,sherbrooke,québec,5684934.32955378,-8004910.58616497
jeu de galets,multi-sport,,sherbrooke,québec,5670613.00402846,-8017508.6539725
jeu de galets,multi-sport,,sherbrooke,québec,5684161.39644679,-8003057.17943511
skateboarding,board sports,,sherbrooke,québec,5680618.09914795,-8002997.90880319
fixed rink,ice sports,,sherbrooke,québec,5683929.87523177,-8003192.35785065
petanque,multi-sport,,sherbrooke,québec,5684955.34650426,-8001608.02542881
jeu de galets,multi-sport,,sherbrooke,québec,5682410.60708213,-8002519.42289354
ice surface,multi-sport,,sherbrooke,québec,5680519.62783745,-8012041.67941889
mobile rink,ice sports,,sherbrooke,québec,5680517.49566861,-8012016.47789084
mobile rink,ice sports,,sherbrooke,québec,5681565.03862696,-8013111.87467521
ice surface,multi-sport,,sherbrooke,québec,5682382.25821576,-8012103.64119986
mobile rink,ice sports,,sherbrooke,québec,5683395.88323148,-8013059.60215613
ice surface,multi-sport,,sherbrooke,québec,5683410.21363239,-8013074.61816277
beach,water sports,,sherbrooke,québec,5683932.49935673,-8006909.81815249
mobile rink,ice sports,,sherbrooke,québec,5682850.82641513,-8009237.70818534
ice surface,multi-sport,,sherbrooke,québec,5682789.31848004,-8009240.09693547
petanque,multi-sport,,sherbrooke,québec,5680682.54410345,-8003011.95002535
petanque,multi-sport,,sherbrooke,québec,5680685.20710994,-8003048.67694911
jeu d'eau,multi-sport,,sherbrooke,québec,5680715.5596424,-8003006.57832917
mobile rink,ice sports,,sherbrooke,québec,5674211.03364389,-8014236.91965432
mobile rink,ice sports,,sherbrooke,québec,5674207.05292511,-8014284.91859333
ice surface,multi-sport,,sherbrooke,québec,5674231.83530402,-8014275.31733029
skateboarding,board sports,,sherbrooke,québec,5676038.08959624,-8019255.38596616
petanque,multi-sport,,sherbrooke,québec,5676028.10561897,-8019369.88201725
beach,water sports,,sherbrooke,québec,5674391.01211796,-8017766.85876133
ice surface,multi-sport,,sherbrooke,québec,5677757.90526061,-8014996.45890703
fixed rink,ice sports,,sherbrooke,québec,5677640.80344372,-8015004.30246659
jeu de galets,multi-sport,,sherbrooke,québec,5677741.63396305,-8015054.74317938
ice surface,multi-sport,,sherbrooke,québec,5684562.74234822,-8015790.96464022
multi-sport track,multi-sport,,sherbrooke,québec,5683570.94013221,-8000666.56147385
skateboarding,board sports,,sherbrooke,québec,5679604.1454403,-7998597.7063646
petanque,multi-sport,,sherbrooke,québec,5685765.40996962,-8002633.38159301
ice surface,multi-sport,,sherbrooke,québec,5685769.05570324,-8002647.9710839
jeu de galets,multi-sport,,sherbrooke,québec,5685437.59949629,-8000302.54711232
skateboarding,board sports,,sherbrooke,québec,5685746.78378267,-7998256.89714071
petanque,multi-sport,,sherbrooke,québec,5686752.37160399,-8001004.46572524
jeu de galets,multi-sport,,sherbrooke,québec,5686816.59963603,-8001091.55976074
petanque,multi-sport,,sherbrooke,québec,5687151.32681071,-8002741.42742219
jeu de galets,multi-sport,,sherbrooke,québec,5687147.04294777,-8002704.98844214
jeu de galets,multi-sport,,sherbrooke,québec,5687231.13633696,-8002790.62271846
jeu de galets,multi-sport,,sherbrooke,québec,5687226.70622831,-8002820.41491519
skateboarding,board sports,,sherbrooke,québec,5681675.61490378,-8008836.58498693
skateboarding,board sports,,sherbrooke,québec,5683963.25979646,-8001637.31392112
jeu de galets,multi-sport,,sherbrooke,québec,5688700.07414368,-7999860.25267053
glissade sur tube,multi-sport,,sherbrooke,québec,5682089.17526738,-8004817.40659157
glissade sur tube,multi-sport,,sherbrooke,québec,5674090.19514315,-8014031.58993403
jeu de galets,multi-sport,,sherbrooke,québec,5686957.13864673,-8005466.42027918
petanque,multi-sport,,sherbrooke,québec,5686966.24554298,-8005494.64829234
ice surface,multi-sport,,sherbrooke,québec,5686768.44551134,-8010260.85047644
mobile rink,ice sports,,sherbrooke,québec,5686770.43616401,-8010281.84435205
multi-sport track,multi-sport,,sherbrooke,québec,5685614.92693183,-8003961.5134037
ice surface,multi-sport,,sherbrooke,québec,5686352.39859072,-8009365.94945737
multi-sport track,multi-sport,,sherbrooke,québec,5686350.59355304,-8009372.21658267
jeu d'eau,multi-sport,,sherbrooke,québec,5684635.88133722,-8007966.56656696
skateboarding,board sports,,sherbrooke,québec,5681566.17346159,-8013124.52186686
ice surface,multi-sport,,sherbrooke,québec,5679940.11625297,-7999318.97248589
ice surface,multi-sport,,sherbrooke,québec,5687189.3710078,-8005578.11576056
multi-sport track,multi-sport,,sherbrooke,québec,5684858.72093719,-8006688.02836965
skateboarding,board sports,,sherbrooke,québec,5685084.71883532,-8006639.51794736
ice surface,multi-sport,,sherbrooke,québec,5679063.0567618,-8010662.35439756
mobile rink,ice sports,,sherbrooke,québec,5679041.34550718,-8010647.79307922
ice surface,multi-sport,,sherbrooke,québec,5682807.99722173,-8004360.80803238
mobile rink,ice sports,,sherbrooke,québec,5682854.6868222,-8004416.84066461
ice surface,multi-sport,,sherbrooke,québec,5680665.96158138,-8002822.28355818
mobile rink,ice sports,,sherbrooke,québec,5683677.19203669,-8000533.66896268
ice surface,multi-sport,,sherbrooke,québec,5684971.78414908,-8000056.07105125
mobile rink,ice sports,,sherbrooke,québec,5685726.2816093,-7998337.81873312
ice surface,multi-sport,,sherbrooke,québec,5685785.3916678,-7998368.07169579
ice surface,multi-sport,,sherbrooke,québec,5687306.87387796,-7999720.38592672
mobile rink,ice sports,,sherbrooke,québec,5687292.73700861,-7999646.8236613
ice surface,multi-sport,,sherbrooke,québec,5688639.47995078,-7999826.84804773
mobile rink,ice sports,,sherbrooke,québec,5688621.96973175,-7999866.21289819
fixed rink,ice sports,,sherbrooke,québec,5688779.55453037,-8001430.11050655
mobile rink,ice sports,,sherbrooke,québec,5687068.35532827,-8005601.26761047
fixed rink,ice sports,,sherbrooke,québec,5687121.67914718,-8005518.26005668
ice surface,multi-sport,,sherbrooke,québec,5689606.09233555,-8003172.86913612
fixed rink,ice sports,,sherbrooke,québec,5689605.19943603,-8003134.65024823
ice surface,multi-sport,,sherbrooke,québec,5692954.89963053,-8005750.68786265
mobile rink,ice sports,,sherbrooke,québec,5692929.51592016,-8005747.77389056
multi-sport track,multi-sport,,sherbrooke,québec,5695547.99176354,-8008397.99056653
ice surface,multi-sport,,sherbrooke,québec,5697987.75964956,-8009223.60086016
ice surface,multi-sport,,sherbrooke,québec,5688807.06438649,-8001487.66220605
mobile rink,ice sports,,sherbrooke,québec,5686730.86932193,-8001055.53227245
mobile rink,ice sports,,sherbrooke,québec,5686733.07456444,-8001100.35372373
mobile rink,ice sports,,sherbrooke,québec,5682800.77124678,-8004434.8978366
ice surface,multi-sport,,sherbrooke,québec,5681615.59311,-8013098.57026644
fixed rink,ice sports,,sherbrooke,québec,5682422.34923911,-8012175.64756509
skateboarding,board sports,,sherbrooke,québec,5683272.22275574,-8016273.25512768
mobile rink,ice sports,,sherbrooke,québec,5683650.69296505,-8019562.12032774
ice surface,multi-sport,,sherbrooke,québec,5683554.54493844,-8019597.15363273
ice surface,multi-sport,,sherbrooke,québec,5675966.3116074,-8019456.4739159
ice surface,multi-sport,,sherbrooke,québec,5684979.53043259,-8004804.7923924
ice surface,multi-sport,,sherbrooke,québec,5685902.48342757,-7996475.71346742
ice surface,multi-sport,,sherbrooke,québec,5695730.63199123,-8008405.02082432
fixed rink,ice sports,,sherbrooke,québec,5695746.60685968,-8008471.1162983
fixed rink,ice sports,,sherbrooke,québec,5684594.79037614,-8015817.94268613
jeu d'eau,multi-sport,,sherbrooke,québec,5687304.23748609,-7999705.71193224
mobile rink,ice sports,,sherbrooke,québec,5685016.04663657,-8000045.39961015
mobile rink,ice sports,,sherbrooke,québec,5676014.22418186,-8019477.95470895
jeu de fers,multi-sport,,sherbrooke,québec,5685769.45523217,-8002634.87414395
jeu de fers,multi-sport,,sherbrooke,québec,5687283.96301819,-7999643.84752433
jeu d'eau,multi-sport,,sherbrooke,québec,5685099.88771508,-8000048.51014152
petanque,multi-sport,,sherbrooke,québec,5677737.84187628,-8015046.56616596
petanque,multi-sport,,sherbrooke,québec,5677781.741953,-8015066.41289617
mobile rink,ice sports,,sherbrooke,québec,5697940.99357625,-8009206.84030822
fixed rink,ice sports,,sherbrooke,québec,5685762.28974744,-7996482.38832544
ice surface,multi-sport,,sherbrooke,québec,5686836.95525908,-8001112.77530596
ice surface,multi-sport,,sherbrooke,québec,5683904.13232011,-8003172.19602353
fixed rink,ice sports,,sherbrooke,québec,5682904.29356573,-8007570.2498781
ice surface,multi-sport,,sherbrooke,québec,5682840.11715815,-8007571.26202544
ice surface,multi-sport,,sherbrooke,québec,5683678.81445131,-8000500.27703395
jeu d'eau,multi-sport,,sherbrooke,québec,5687006.65769774,-8002557.36583938
fixed rink,ice sports,,sherbrooke,québec,5680710.17574565,-8002827.92045129
petanque,multi-sport,,sherbrooke,québec,5684575.16459956,-8015914.20816075
mobile rink,ice sports,,sherbrooke,québec,5681061.20369977,-7998712.41236547
ice surface,multi-sport,,sherbrooke,québec,5681069.69356596,-7998747.42603787
jeu modulaire,multi-sport,,sherbrooke,québec,5687032.77896434,-8007988.86283769
jeu modulaire,multi-sport,,sherbrooke,québec,5687046.64147765,-8007984.31173576
jeu modulaire,multi-sport,,sherbrooke,québec,5688557.74923197,-7999727.03477834
jeu modulaire,multi-sport,,sherbrooke,québec,5686484.57372719,-8009289.34658417
jeu modulaire,multi-sport,,sherbrooke,québec,5688564.11514166,-7999713.74890217
jeu modulaire,multi-sport,,sherbrooke,québec,5682986.74475234,-8000166.6998763
jeu modulaire,multi-sport,,sherbrooke,québec,5685667.07335403,-8000740.58636181
jeu modulaire,multi-sport,,sherbrooke,québec,5685686.22813326,-8000746.32065207
jeu modulaire,multi-sport,,sherbrooke,québec,5683830.97418231,-8005763.19630371
jeu modulaire,multi-sport,,sherbrooke,québec,5677569.23057188,-8014743.3338717
jeu modulaire,multi-sport,,sherbrooke,québec,5678775.20537497,-8014192.04901937
jeu modulaire,multi-sport,,sherbrooke,québec,5678777.89257472,-8014157.71222003
jeu modulaire,multi-sport,,sherbrooke,québec,5681345.49923742,-8003712.3733681
jeu modulaire,multi-sport,,sherbrooke,québec,5683839.2376807,-8006930.53101246
jeu modulaire,multi-sport,,sherbrooke,québec,5682685.40660601,-8005508.99925835
jeu modulaire,multi-sport,,sherbrooke,québec,5679344.64115255,-8008802.89098009
jeu modulaire,multi-sport,,sherbrooke,québec,5688850.76297056,-8001518.64293292
jeu modulaire,multi-sport,,sherbrooke,québec,5679322.30316981,-8008786.41783695
jeu modulaire,multi-sport,,sherbrooke,québec,5684193.43336231,-8003135.67060239
jeu modulaire,multi-sport,,sherbrooke,québec,5684201.08256655,-8003160.14809593
jeu modulaire,multi-sport,,sherbrooke,québec,5684440.13265842,-8002786.1708683
jeu modulaire,multi-sport,,sherbrooke,québec,5685943.43674494,-8007863.43498627
jeu modulaire,multi-sport,,sherbrooke,québec,5687242.80785507,-8001458.44898416
jeu modulaire,multi-sport,,sherbrooke,québec,5687178.99754283,-8002857.43052502
jeu modulaire,multi-sport,,sherbrooke,québec,5687037.11168242,-8002721.44395583
jeu modulaire,multi-sport,,sherbrooke,québec,5686775.71558898,-7998062.85762674
jeu modulaire,multi-sport,,sherbrooke,québec,5685171.37295168,-7998336.31273827
jeu modulaire,multi-sport,,sherbrooke,québec,5685723.32767319,-7996527.19354643
jeu modulaire,multi-sport,,sherbrooke,québec,5685849.09566916,-7996546.98775876
jeu modulaire,multi-sport,,sherbrooke,québec,5686788.62026154,-7995688.4462674
jeu modulaire,multi-sport,,sherbrooke,québec,5689609.74207373,-7998536.12689513
jeu modulaire,multi-sport,,sherbrooke,québec,5689591.08607546,-7998533.46825878
jeu modulaire,multi-sport,,sherbrooke,québec,5683379.06183442,-8012990.12042963
jeu modulaire,multi-sport,,sherbrooke,québec,5683390.14450362,-8012969.17748852
jeu modulaire,multi-sport,,sherbrooke,québec,5687350.00654352,-7999765.57596548
jeu modulaire,multi-sport,,sherbrooke,québec,5680667.99750769,-8002982.35177236
jeu modulaire,multi-sport,,sherbrooke,québec,5680613.78598178,-8002965.08709493
jeu modulaire,multi-sport,,sherbrooke,québec,5687989.86314393,-8001637.02676568
jeu modulaire,multi-sport,,sherbrooke,québec,5682671.82401096,-8004430.0514224
jeu modulaire,multi-sport,,sherbrooke,québec,5682807.45360506,-8007442.19769822
jeu modulaire,multi-sport,,sherbrooke,québec,5682335.73250105,-8002521.12126123
jeu modulaire,multi-sport,,sherbrooke,québec,5682318.31614442,-8002537.70808164
jeu modulaire,multi-sport,,sherbrooke,québec,5682376.10756896,-8011997.41106039
jeu modulaire,multi-sport,,sherbrooke,québec,5682386.33728459,-8012038.33139996
jeu modulaire,multi-sport,,sherbrooke,québec,5683849.00915975,-8006989.32290712
jeu modulaire,multi-sport,,sherbrooke,québec,5686670.33363187,-8010187.31110017
jeu modulaire,multi-sport,,sherbrooke,québec,5695707.91760735,-8008513.93951229
jeu modulaire,multi-sport,,sherbrooke,québec,5683363.0447287,-8016346.05247575
jeu modulaire,multi-sport,,sherbrooke,québec,5682874.92946481,-8003345.83144774
jeu modulaire,multi-sport,,sherbrooke,québec,5683378.28509265,-8002204.21589728
jeu modulaire,multi-sport,,sherbrooke,québec,5696194.06942127,-8008863.68783947
jeu modulaire,multi-sport,,sherbrooke,québec,5683390.50107738,-8016321.93854637
jeu modulaire,multi-sport,,sherbrooke,québec,5683403.82710925,-8016330.53349308
jeu modulaire,multi-sport,,sherbrooke,québec,5679863.58631779,-7999473.49728743
jeu modulaire,multi-sport,,sherbrooke,québec,5679872.33576913,-7999465.90607019
jeu modulaire,multi-sport,,sherbrooke,québec,5679867.86020191,-7999463.88881869
jeu modulaire,multi-sport,,sherbrooke,québec,5688321.51230007,-7996845.36400083
jeu modulaire,multi-sport,,sherbrooke,québec,5685008.05349697,-8001564.91505805
jeu modulaire,multi-sport,,sherbrooke,québec,5688878.04669799,-8001544.20804713
jeu modulaire,multi-sport,,sherbrooke,québec,5679129.76556557,-8010637.83095195
jeu modulaire,multi-sport,,sherbrooke,québec,5684528.30846086,-8015873.69658552
jeu modulaire,multi-sport,,sherbrooke,québec,5682821.5871876,-8013769.38263652
jeu modulaire,multi-sport,,sherbrooke,québec,5684512.92593778,-8015828.07069353
jeu modulaire,multi-sport,,sherbrooke,québec,5687253.85358744,-8001468.68321763
jeu modulaire,multi-sport,,sherbrooke,québec,5684307.60574737,-8007115.07992101
jeu modulaire,multi-sport,,sherbrooke,québec,5684311.08263951,-8007120.87340454
jeu modulaire,multi-sport,,sherbrooke,québec,5689593.68727467,-8003481.67000386
jeu modulaire,multi-sport,,sherbrooke,québec,5680517.39570898,-8012144.76957311
jeu modulaire,multi-sport,,sherbrooke,québec,5681649.36997616,-8013325.84395111
jeu modulaire,multi-sport,,sherbrooke,québec,5681636.01261309,-8013319.25430676
jeu modulaire,multi-sport,,sherbrooke,québec,5682944.63686605,-8014885.13567079
jeu modulaire,multi-sport,,sherbrooke,québec,5682928.87951568,-8014877.02396187
jeu modulaire,multi-sport,,sherbrooke,québec,5683569.44345242,-8019643.44016607
jeu modulaire,multi-sport,,sherbrooke,québec,5680209.26676814,-8020860.67833185
jeu modulaire,multi-sport,,sherbrooke,québec,5684601.02204505,-8009619.85727197
jeu modulaire,multi-sport,,sherbrooke,québec,5684672.69175421,-8007988.83106133
jeu modulaire,multi-sport,,sherbrooke,québec,5692917.09902184,-8005794.19905405
jeu modulaire,multi-sport,,sherbrooke,québec,5692910.83501821,-8005804.40502825
jeu modulaire,multi-sport,,sherbrooke,québec,5686782.61307667,-7995664.38886394
jeu modulaire,multi-sport,,sherbrooke,québec,5674909.32080197,-8015206.4023253
jeu modulaire,multi-sport,,sherbrooke,québec,5674115.65622321,-8013996.83261566
jeu modulaire,multi-sport,,sherbrooke,québec,5676096.85031239,-8019306.78547686
jeu modulaire,multi-sport,,sherbrooke,québec,5676076.85066234,-8019314.72776414
jeu modulaire,multi-sport,,sherbrooke,québec,5676048.38765892,-8019333.93586687
jeu modulaire,multi-sport,,sherbrooke,québec,5682322.77333565,-8001958.16092782
jeu modulaire,multi-sport,,sherbrooke,québec,5674491.9435678,-8017704.65922565
jeu modulaire,multi-sport,,sherbrooke,québec,5674462.10557411,-8017687.25175222
jeu modulaire,multi-sport,,sherbrooke,québec,5677559.38158803,-8014782.13486532
jeu modulaire,multi-sport,,sherbrooke,québec,5679688.27913129,-8015008.28359036
jeu modulaire,multi-sport,,sherbrooke,québec,5679705.97081759,-8015004.76150258
jeu modulaire,multi-sport,,sherbrooke,québec,5678479.14236995,-8014727.45269834
jeu modulaire,multi-sport,,sherbrooke,québec,5688092.18642414,-8005577.29860987
jeu modulaire,multi-sport,,sherbrooke,québec,5680501.33098172,-8012144.17469519
jeu modulaire,multi-sport,,sherbrooke,québec,5678664.54414388,-7994235.35224934
jeu modulaire,multi-sport,,sherbrooke,québec,5680305.3080886,-8009989.71363149
jeu modulaire,multi-sport,,sherbrooke,québec,5680273.94817087,-8010016.38427988
jeu modulaire,multi-sport,,sherbrooke,québec,5670590.04593404,-8017570.50529047
jeu modulaire,multi-sport,,sherbrooke,québec,5680526.73500245,-7999828.71811689
jeu modulaire,multi-sport,,sherbrooke,québec,5681029.15890402,-7998754.92164523
jeu modulaire,multi-sport,,sherbrooke,québec,5681016.43503531,-7998752.86724344
jeu modulaire,multi-sport,,sherbrooke,québec,5682840.76949387,-8013775.73266613
jeu modulaire,multi-sport,,sherbrooke,québec,5680229.60629025,-8003584.50872578
jeu modulaire,multi-sport,,sherbrooke,québec,5695687.39062746,-8008481.70554472
jeu modulaire,multi-sport,,sherbrooke,québec,5698050.4954668,-8009172.48043588
jeu modulaire,multi-sport,,sherbrooke,québec,5698016.6896461,-8009186.62208732
jeu modulaire,multi-sport,,sherbrooke,québec,5687261.55647772,-8005462.38226819
